corpus: preloaded/ententen15_tt31
subcorpus: 
size: 5911971
query: Query:[lc="build" | lemma_lc="build"], GDEX:2000
motherboarddrivers.info| <s> The Build Your Own Gaming PC portion of Wal-Marts computer page isnt quite as extensive as what iBuyPower has set up, but the choices and categories make it a more manageable experience for users who are still new to the build-your-own-PC scene. </s> 
realhartford.org| <s> Everyone working on bikes now knows that we have to build better separated, protected bike lanes in order to get everyone biking–not just the daring. </s> 
manmin.org| <s> When you built up walls of sins of various kinds while leading your life in Christ, you were able to repent of them and demolish those walls of sins, and this was not done by your own strength either. </s> 
supercoderz.in| <s> Of course it is, not because you don't know what to build, even when you know exactly what to build , the problem is to build it in the correct way so that it can serve the purpose of not one but perhaps hundreds of users and above all provide correct results consistently without failing. </s> 
ama.org| <s> To blaze a better trail, organizations need to turn marketing models into business models, built so that every interaction is designed to enhance a customer's experience instead of detracting from it. </s> 
accreditedschoolsonline.org| <s> Workshops designed to help students build a framework for their thesis, including sourcing research, outlining initial thesis concepts and securing advisers. </s> 
myworld2015.org| <s> Datashift is a multi-stakeholder, demand-driven initiative that builds the capacity and confidence of civil society organisations to generate and use citizen-generated data and leverage technology to monitor development progress, demand accountability and campaign for transformative change. </s> 
jeron.org| <s> Animal-like robots, built from wooden toys, recite comments from social network platforms, hinting at the role of the comment-function on Twitter, Facebook, Google & Co. in identity construction. </s> 
tropcho.eu| <s> From the get-go my approach to scaling the HTML seemed like a hack and I was making use of viewports. ... Continue reading → Keyboard closing automatically in Android PhoneGap app While building a phonegap app I encountered an issue with my Android build. </s> 
syrianfreedom.org| <s> In an effort to build support for punitive strikes, the US and UK will on Thursday publish a joint summary of the intelligence which they say points towards the Assad regime's responsibility for the poison gas attack of 21 August in Ghouta, eastern Damascus, that killed over 1,000 people. </s> 
forumsky.org| <s> Spectrophotometers make use of a grating and array detector to build 16 31 discrete measurements by dividing the visible spectrum into narrow bands of 10 20 nm. </s> 
vadfoundation.org| <s> Improving the educational system in South Sudan is one of the best ways to build local capacity and encourage the creation of viable economic opportunities for the people of South Sudan. </s> 
townplanning.gov.bb| <s> In Barbados, the Town and Country Planning Act Cap. 240 at section 29 makes provision for a list of buildings of special architectural or historic interest and Section 28 of the same act makes provision for building preservation orders. </s> 
ossc.org| <s> Nicholas builds heterodyne laser interferometers. </s>
pwi.be| <s> The goal of Millennia2015 is to act for gender equality, women's empowerment and their full participation to political, economic and social decisions, in complementarity with men, in order to build fairer and more ethical futures at the horizon 2025. </s> 
tribe.net| <s> This process builds citizens' capability to address city vulnerability to climate change scenarios and to develop adaptation strategies. </s>
fcgov.com| <s> The brewery will be built after the completion of the Storage facility . </s>
